GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DevOps_Project,tn.esprit.devops_project.entities,ProductCategory,0,21,0,0,0,2,0,1,0,1
DevOps_Project,tn.esprit.devops_project.entities,Stock,3,33,0,0,1,5,1,7,1,7
DevOps_Project,tn.esprit.devops_project.entities,ActivitySector,28,18,0,0,5,2,8,2,8,2
DevOps_Project,tn.esprit.devops_project.entities,Supplier,62,70,9,7,4,6,14,8,6,8
DevOps_Project,tn.esprit.devops_project.entities,Operator,76,79,12,12,4,5,17,8,5,8
DevOps_Project,tn.esprit.devops_project.entities,InvoiceDetail,56,0,0,0,8,0,12,0,12,0
DevOps_Project,tn.esprit.devops_project.entities,Invoice,55,41,0,0,9,3,16,4,16,4
DevOps_Project,tn.esprit.devops_project.entities,Product,41,25,0,0,7,2,12,2,12,2
DevOps_Project,tn.esprit.devops_project.entities,SupplierCategory,0,15,0,0,0,2,0,1,0,1
DevOps_Project,tn.esprit.devops_project.controllers,ActivitySectorController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.controllers,InvoiceController,43,0,0,0,11,0,8,0,8,0
DevOps_Project,tn.esprit.devops_project.controllers,StockController,20,0,0,0,4,0,4,0,4,0
DevOps_Project,tn.esprit.devops_project.controllers,ProductController,36,0,0,0,8,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.controllers,SupplierController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.controllers,OperatorController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.services,InvoiceServiceImpl,25,101,0,0,0,18,5,9,5,9
DevOps_Project,tn.esprit.devops_project.services,SupplierServiceImpl,6,40,0,0,0,8,1,7,1,7
DevOps_Project,tn.esprit.devops_project.services,ActivitySectorImpl,6,36,0,0,0,7,1,6,1,6
DevOps_Project,tn.esprit.devops_project.services,ProductServiceImpl,10,57,0,0,0,11,2,8,2,8
DevOps_Project,tn.esprit.devops_project.services,OperatorServiceImpl,5,35,0,0,0,7,1,6,1,6
DevOps_Project,tn.esprit.devops_project.services,StockServiceImpl,5,24,0,0,0,4,1,4,1,4
DevOps_Project,tn.esprit.devops_project,DevOps_ProjectSpringBootApplication,8,0,0,0,3,0,2,0,2,0
